"file","Description"
"0.mp3","再生能源發展當道，如何在發展光電下，兼顧農業、生態環境以及國土規畫，是當前重要課題，對此地球公民基金會19日發表一份調查報告，從生態保育、國土開發等多面向進行建議，也揭露一級保育類動物石虎，近年來在光電的發展下，所遇到的威脅。"
"2.mp3","今天的非洲客觀點系列報導，要帶觀眾朋友透過鏡頭，拜訪從新竹、苗栗移居南非的客家鄉親，一位來自苗栗的吳國雄，他看中了非洲農用物資，和農產品等等所需的編織袋，市場龐大，在南非建立了編織袋王國。而另一位Jason，則是將臺灣蘭花引進南非，搶攻高端精緻市場，他們兩位不斷適應，和臺灣截然不同的風俗民情，鍛鍊出獨有的勇氣和智謀，立足南非。"
"3.mp3","水雉是臺灣二級保育物種，高雄美濃的野蓮田，因為長年有水，可以看到水雉在野蓮池棲息繁殖，為了為這群嬌客，營造更好的生活環境，有21位農民參加高雄市農業局的，生態服務給付計畫，希望透過友善農耕方式，把水雉留下來。"
"4.mp3","2022年獲文化部登錄認定為，重要文化資產保存技術，剪黏泥塑技術保存者徐明河，在17日去世，享壽82歲。人間國寶徐明河，終身奉獻傳統建築剪黏泥塑技術，並作育英才無數，文化部將呈請總統明令褒揚。"
"5.mp3","暑假到，新竹縣文化局舉辦板凳電影院系列活動宣傳會，大家一起坐在板凳上，體驗農業時代露天觀賞電影，今年主辦單位還準備了摺疊式的板凳，以集戳章參加抽獎方式，讓民眾觀賞電影又把板凳帶回家。"
"6.mp3","暑假學生打工季節到來，勞動部提醒，雇主如果僱用未滿18歲青少年，一定要取得受僱者的，法定代理人同意書，及年齡證明2項文件，否則將依法處以2萬元以上，30萬元以下新臺幣罰鍰，另外勞動部也強調，算時薪的工讀生，部分工時勞工，不論工作時間長短，皆受勞基法保障。"
"7.mp3","推動永續，為了便利民眾資源回收，屏東縣環保局和民間企業合作，在5處超商跟大賣場門口設置智慧回收機，全天候提供資源回收服務，這樣一來民眾就不需受限，回收車收運時間，暑假期間還可享免費咖啡優惠。"
"8.mp3","屏科大、阿公店扶輪社和臺灣兒童暨家庭扶助基金會，共同辦理南臺灣偏鄉弱勢社區關懷活動，讓偏鄉社區弱勢家庭的學生，也接觸到工業40的技術，和接觸AI人工智慧，為弱勢學子開拓視野建立自信。"
"9.mp3","苗栗縣頭份市建國國小7月9日出發到韓國，參加世界合唱大賽，勇奪兒少組金牌與民謠組銀牌，除了演唱客家歌曲受到矚目，同學們也把握時間，甚至到飯店頂樓陽台練唱，能抱回世界冠軍的獎牌，師生都十分感動。"
"10.mp3","聚焦1895乙未戰役，客委會客發中心，和文史學者合作出版抗與順的抉擇-乙未中彰保衛戰，研究調查書籍，深刻記錄至今屆滿128年，全臺規模最大的戰役。"
"11.mp3","南投縣中寮鄉北中寮地區，有一個標榜生態經營的農場，在這裡經營約有45年，不過卻排放廢水造成河川汙染，空氣中更是充滿惡臭味，居民不斷向縣政府環保局檢舉，也有開立罰單，但仍不見改善，居民成立自救會，17日晚間邀請縣府主管機關、中寮鄉公所等單位共同召開協調會，希望能夠解決陳年的環保問題。"
"12.mp3","臺灣商人足跡遍布全球，在非洲地區也有許多臺商，歷經市場競爭、資源整合和生存挑戰，馳騁商場數十年，從事跨國生意難免會產生糾紛，這時大多數商人，反而不會一狀告上法院，而是選擇仲裁制度，今天的非洲客觀點採訪團隊，帶您一探在非洲極具規模的南部非洲仲裁協會。"
"13.mp3","人力銀行發布2023年民生消費人才白皮書，針對餐飲、批發以及零售等，五大民生消費業職缺和薪資調查，研究顯示，民生消費業相較於整體產業，求才困難，而其中餐飲業，第一季平均人才短缺171萬人，是民生消費業中的重災區，專家建議可提高薪資，並以多元方式徵才，吸引優秀人才加入。"
"14.mp3","臺東縣領有身心障礙手冊者，約有1萬6千多人，占全縣人口7左右，是全國第二多，因應旅宿業房務缺工問題，臺東縣政府與民間組織合作，舉辦身心障礙房務職訓，在飯店實習後，就能直接在飯店任職。"
"15.mp3","南投縣國姓鄉國姓社區，舉辦客家傳統小吃DIY研習課程，邀請民眾一起同樂，講師把在地特產，例如薑黃、艾草、紅麴、咖啡等原料，加入豬籠粄中，看上去豬籠粄五彩繽紛，希望能吸引更多人加入學習，也創新客家傳統美食技藝。"
"16.mp3","屏東可可再度耀眼國際，在ICA世界巧克力大獎，2023亞太區競賽中，屏東業者共獲7金，25銀20銅和7個特別獎，共59面獎牌，創下歷年來最佳紀錄，其中屏東內埔鄉的曾志元，與太太郭怡婷都分別獲得金牌，也成為一項特殊紀錄。"
"17.mp3","推銷拉拉山水蜜桃，桃園農業局首度和藝人、量販店合作，一起線上直播販售，並且在量販店，北臺灣10家分店同步鋪貨，希望藉此幫助在地小農。"
"18.mp3","苗栗縣頭份市藝術館，推出森木傳情展覽，邀請多位藝術家，以自然素材創作，包括樹木、樹葉、木炭等，都成為創作藝術的素材，將森林的概念融合在藝術創作中，十分有意思。"
"19.mp3","由中華文化總會舉辦的2023 OPEN CHIAYI 創生抵嘉特展，將於18日開幕，來自嘉義的30多個團隊，將共同展現，在地豐富的地方創生成果。"
"20.mp3","科技產業多元，所需人才也與日俱增，國立聯合大學利用暑假期間，舉辦科學研習營，以STEM領域，在粉末冶金產業應用為主軸，針對苗栗縣高中、大專生，進行為期5天的課程體驗，希望藉此培育在地人才，並推動女性研發人才培育計畫。"
"21.mp3","屏東縣高樹鄉公所夏日音樂祭系列活動，16日傍晚在新豐親水公園推出夏宴·漱石產地餐桌，由高樹鄉觀光產業發展協會與在地小農共同提供食材，讓民眾在落日餘暉之際，享用高樹特色美食。"
"22.mp3","新竹縣新豐垃圾掩埋場16日晚間冒出熊熊烈火，火勢延燒近182坪，火舌挾帶濃濃黑煙直竄天際、惡臭撲鼻，附近居民直呼受不了，所幸火勢在17日凌晨已經撲滅，後續也要觀察風向，當地里長表示恐怕要一個月，臭氣沖天的情形才會消散。"
"23.mp3","即便有不少國人，因為南非這幾年來浮現的社會問題，陸續返鄉，仍然有不少客家鄉親，堅守已經視為第二家園的南非大地，並在各大領域發光發熱。像是經營採礦周邊產業的温富政，從小就跟著家人在南非地區闖蕩。至今近50年，而經營快餐館的鄭玉限，則用好手藝讓臺灣料理，飄香南非大地。"
"24.mp3","客家新聞前進非洲帶回第一手觀察，今天起將推出非洲客觀點系列報導，首先前進位於非洲大陸南端的南非共和國，這裡被大西洋、印度洋所交匯懷抱，同時也是非洲大陸的最南端，氣候環境宜人，和大眾一般認知燥熱的非洲，可以說是形成強烈對比，也因為南非的歷史、多元的族群文化，歐、亞、非洲風情在這裡相融，宛如彩虹的國度。"
"25.mp3","臺中市豐原區被客委會公告為客家文化重點發展區，只是當地鮮少看到客家文化，更難聽到鄉親說客家話，為此臺中市陽明客家協會，就以客家歌謠、舞蹈及音樂，在豐原地區全方位推廣客家文化。"
"26.mp3","串連眾多客庄，全長150公里的浪漫臺三線藝術季，引起不少話題，16日有一場淺山藝術論壇，邀請了策展團隊，10多位藝術家與學者進行對談，分享在臺三線上的創作與故事，其中也有客籍的藝術家，透過自身的成長經驗，分享如何將作品賦予客家意象。"
"27.mp3","南投縣政府文化局客家事務科推動客語深根服務計畫，開辦南投客家文化學院，特別和國姓鄉立圖書館合作，舉辦家庭親子共學班，希望藉由活潑的課程，融入基礎客語的教學，營造客語使用的環境。"
"28.mp3","新竹縣海陸客家語文協會，今年成立20週年，在慶祝大會上，除了靜態展示歷年出版的書籍之外，還有動態的表演，而為了讓海陸腔客語傳承，能夠跟上時代的潮流，未來協會也將建立資料網站，讓更多人方便學習、使用。"
"29.mp3","因疫情停辦3年的客家青少年國際事務訪問團，今年再度啟動，一共有12位，平均年齡17歲的客家後生，化身成客家文化宣揚大使，將到新加坡、馬來西亞進行海外交流，今天15日進行行前訓練始業典禮，成員們相見歡，大秀才藝。"
"30.mp3","2023原客青少年三對三籃球賽屏東場，今天15日在明正國中熱血開賽，每隊均要有原住民族籍及客家籍選手，共有61隊報名參賽，261名選手在賽場上競技。"
"31.mp3","花蓮客庄盛事，瑞穗富源的鼓王爭霸戰，因疫情停辦3年，今年再度恢復舉辦，也集結了全國各路好手報名參加，一較高下、尬鼓競技。"
"32.mp3","因疫情停辦2年的雲林縣林內鄉搶水文化節，15日又恢復舉行，早期水路系統不發達，農民必須自己引溪水來灌溉，就像跟大自然搶水一樣，主辦單位藉由搶水文化節，讓民眾體會農作的辛苦。"
"34.mp3","1995年因為反水庫運動而起的美濃黃蝶祭，已經有29年的歷史了，今年的活動以回為主題，表達從心出發、珍惜生活環境，除了傳統祭典儀式，也安排了舞者為大自然獻舞，透過不同姿態表達對天地的尊敬。"
"35.mp3","建於清光緒13年的富源保安宮，是花蓮地區最古老的城隍廟，每年城隍爺生前一天，也就是農曆5月12日傍晚，拔仔庄都有暗訪活動，就是召集俗稱紅褲班的神轎班隊，請出高矮爺，也就是七爺八爺在富源三村夜間巡邏，沿途消災祈福，而這也是客庄鼓陣鼓藝文化的由來，相當具有地方傳統色彩 。"
"36.mp3","鼓王爭霸戰最早是源於花蓮富源在地信仰中心保安宮，也就是城隍廟的慶典活動，當地人說只要是神明遶境，就一定會打鼓壯大聲勢，所以有一句話流傳說，沒聽過打鼓聲就不是富源人，這項傳統文化在民國100年左右，由官方接手打造成年度全國賽事，在疫情之後重新出發，讓花蓮在地客庄的文化品牌，一年一年傳承下去。"
