"ID","Title","Channel","PublishedAt","Description"
"4dprYKLJ6f4","石虎生存危機 光電.生態.國土規畫如何兼顧【客家新聞20230719】","客家新聞Hakka News","2023-07-19","再生能源發展當道，如何在發展光電下，兼顧農業、生態環境以及國土規畫，是當前重要課題，對此地球公民基金會19日發表一份調查報告，從生態保育、國土開發等多面向進行建議，也揭露一級保育類動物石虎，近年來在光電的發展下，所遇到的威脅。"
"PpKtzHquSyc","彩虹之國南非吸引移民 經濟蕭條.危機四伏【客家新聞20230719】","客家新聞Hakka News","2023-07-19","放眼彩虹之國南非，雖然自然風景美不勝收，氣候宜人，生活品質良好，不過許多移居南非的民眾，每天的首要任務，竟然是繃緊神經好好活著，因為在南非明顯失衡的產業結構，已經20多年沒有調整，而在新冠疫情之後，貧窮、失業等國內經濟情勢，蕭條加劇，才會釀成南非幾乎每天都發生，明目張膽的謀殺、搶劫等種種悲劇。"
"d6TdUTdj1Vo","拜訪竹苗移居南非鄉親 看見立足天涯智謀【客家新聞20230718】","客家新聞Hakka News","2023-07-19","今天的「非洲客觀點」系列報導，要帶觀眾朋友透過鏡頭，拜訪從新竹、苗栗移居南非的客家鄉親，一位來自苗栗的吳國雄，他看中了非洲農用物資，和農產品等等所需的編織袋，市場龐大，在南非建立了編織袋王國。而另一位Jason，則是將臺灣蘭花引進南非，搶攻高端精緻市場，他們兩位不斷適應，和臺灣截然不同的風俗民情，鍛鍊出獨有的勇氣和智謀，立足南非。"
"mrJMo6uf8dA","友善農耕護水雉 野蓮農投入生態保育計畫【客家新聞20230718】","客家新聞Hakka News","2023-07-18","水雉是臺灣二級保育物種，高雄美濃的野蓮田，因為長年有水，可以看到水雉在野蓮池棲息繁殖，為了為這群嬌客，營造更好的生活環境，有21位農民參加高雄市農業局的，生態服務給付計畫，希望透過友善農耕方式，把水雉留下來。"
"Hx5zYWWPy-E","剪黏泥塑技術保存者徐明河辭世 享壽82歲【客家新聞20230718】","客家新聞Hakka News","2023-07-18","2022年獲文化部登錄認定為，重要文化資產保存技術，「剪黏泥塑技術」保存者徐明河，在17日去世，享壽82歲。人間國寶徐明河，終身奉獻傳統建築剪黏泥塑技術，並作育英才無數，文化部將呈請總統明令褒揚。"
"SccyqarGN1s","新瓦屋板凳電影院將登場 抽紀念摺疊板凳【客家新聞20230718】","客家新聞Hakka News","2023-07-18","暑假到，新竹縣文化局舉辦板凳電影院系列活動宣傳會，大家一起坐在板凳上，體驗農業時代露天觀賞電影，今年主辦單位還準備了摺疊式的板凳，以集戳章參加抽獎方式，讓民眾觀賞電影又把板凳帶回家。"
"P9uRwUCw8IM","未滿18歲打工 須代理人同意.年齡證明【客家新聞20230718】","客家新聞Hakka News","2023-07-18","暑假學生打工季節到來，勞動部提醒，雇主如果僱用未滿18歲青少年，一定要取得受僱者的，「法定代理人同意書」，及「年齡證明」2項文件，否則將依法處以2萬元以上，30萬元以下新臺幣罰鍰，另外勞動部也強調，算時薪的工讀生，部分工時勞工，不論工作時間長短，皆受勞基法保障。"
"dqs9jHr8d84","屏東縣設5處智慧回收機 資源回收送咖啡【客家新聞20230718】","客家新聞Hakka News","2023-07-18","推動永續，為了便利民眾資源回收，屏東縣環保局和民間企業合作，在5處超商跟大賣場門口設置智慧回收機，全天候提供資源回收服務，這樣一來民眾就不需受限，回收車收運時間，暑假期間還可享免費咖啡優惠。"
"At40ytWYqOI","靜思湖科學人營隊 為學子創造飛夢園【客家新聞20230718】","客家新聞Hakka News","2023-07-18","屏科大、阿公店扶輪社和臺灣兒童暨家庭扶助基金會，共同辦理南臺灣偏鄉弱勢社區關懷活動，讓偏鄉社區弱勢家庭的學生，也接觸到工業4.0的技術，和接觸AI人工智慧，為弱勢學子開拓視野建立自信。"
"4eYT8ZAsXtA","頭份建國國小合唱團 韓國世界賽奪金.銀牌【客家新聞20230718】","客家新聞Hakka News","2023-07-18","苗栗縣頭份市建國國小7月9日出發到韓國，參加世界合唱大賽，勇奪兒少組金牌與民謠組銀牌，除了演唱客家歌曲受到矚目，同學們也把握時間，甚至到飯店頂樓陽台練唱，能抱回世界冠軍的獎牌，師生都十分感動。"
"WpcANkO6oJM","客委會攜手學者 發表新書""乙未中彰保衛戰""【客家新聞20230718】","客家新聞Hakka News","2023-07-18","聚焦1895乙未戰役，客委會客發中心，和文史學者合作出版《抗與順的抉擇-乙未中彰保衛戰》，研究調查書籍，深刻記錄至今屆滿128年，全臺規模最大的戰役。"
"b1UXU-DKXTQ","中寮生態農場排廢染河川 自救會開協調會【客家新聞20230718】","客家新聞Hakka News","2023-07-18","南投縣中寮鄉北中寮地區，有一個標榜生態經營的農場，在這裡經營約有45年，不過卻排放廢水造成河川汙染，空氣中更是充滿惡臭味，居民不斷向縣政府環保局檢舉，也有開立罰單，但仍不見改善，居民成立自救會，17日晚間邀請縣府主管機關、中寮鄉公所等單位共同召開協調會，希望能夠解決陳年的環保問題。"
"TAVMccKQLgE","南部非洲仲裁協會 臺商經商若遇糾紛首選【客家新聞20230718】","客家新聞Hakka News","2023-07-18","臺灣商人足跡遍布全球，在非洲地區也有許多臺商，歷經市場競爭、資源整合和生存挑戰，馳騁商場數十年，從事跨國生意難免會產生糾紛，這時大多數商人，反而不會一狀告上法院，而是選擇「仲裁」制度，今天的非洲客觀點採訪團隊，帶您一探在非洲極具規模的「南部非洲仲裁協會」。"
"YnQGHXEXfn0","民生消費產業缺工創新高 專家籲多元徵才【客家新聞20230718】","客家新聞Hakka News","2023-07-18","人力銀行發布2023年「民生消費人才白皮書」，針對餐飲、批發以及零售等，五大民生消費業職缺和薪資調查，研究顯示，民生消費業相較於整體產業，求才困難，而其中餐飲業，第一季平均人才短缺17.1萬人，是民生消費業中的「重災區」，專家建議可提高薪資，並以多元方式徵才，吸引優秀人才加入。"
"F6UQOkLhRxY","臺東縣府辦身障房務職訓 結業可直接上工【客家新聞20230718】","客家新聞Hakka News","2023-07-18","臺東縣領有身心障礙手冊者，約有1萬6千多人，占全縣人口7%左右，是全國第二多，因應旅宿業房務缺工問題，臺東縣政府與民間組織合作，舉辦身心障礙房務職訓，在飯店實習後，就能直接在飯店任職。"
"ICpDzxcg2sA","客家傳統小吃研習 五彩豬籠粄添課程趣味【客家新聞20230717】","客家新聞Hakka News","2023-07-17","南投縣國姓鄉國姓社區，舉辦客家傳統小吃DIY研習課程，邀請民眾一起同樂，講師把在地特產，例如薑黃、艾草、紅麴、咖啡等原料，加入豬籠粄中，看上去豬籠粄五彩繽紛，希望能吸引更多人加入學習，也創新客家傳統美食技藝。"
"hMY5nHO_P8E","屏東可可揚名國際 ICA亞太區競賽奪7金【客家新聞20230717】","客家新聞Hakka News","2023-07-17","屏東可可再度耀眼國際，在ICA世界巧克力大獎，2023亞太區競賽中，屏東業者共獲7金，25銀20銅和7個特別獎，共59面獎牌，創下歷年來最佳紀錄，其中屏東內埔鄉的曾志元，與太太郭怡婷都分別獲得金牌，也成為一項特殊紀錄。"
"CU1ojwggM-g","桃園農業局合作量販店 行銷拉拉山水蜜桃【客家新聞20230717】","客家新聞Hakka News","2023-07-17","推銷拉拉山水蜜桃，桃園農業局首度和藝人、量販店合作，一起線上直播販售，並且在量販店，北臺灣10家分店同步鋪貨，希望藉此幫助在地小農。"
"_MAWVQ9jnCo","頭份藝術館森木傳情展 自然素材融入創作【客家新聞20230717】","客家新聞Hakka News","2023-07-17","苗栗縣頭份市藝術館，推出「森木傳情」展覽，邀請多位藝術家，以自然素材創作，包括樹木、樹葉、木炭等，都成為創作藝術的素材，將森林的概念融合在藝術創作中，十分有意思。"
"hbcjDnhmCqM","創生抵嘉特展 呈現嘉義地方創生豐碩成果【客家新聞20230717】","客家新聞Hakka News","2023-07-17","由中華文化總會舉辦的「2023 OPEN CHIAYI 創生抵嘉特展」，將於18日開幕，來自嘉義的30多個團隊，將共同展現，在地豐富的地方創生成果。"
